"1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3","1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3","1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3","1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3","1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3","1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3","1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)","1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)","1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3","1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3","1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3","1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+","1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3","1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3","1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,"1S/C8H8O3/c1-11-8(10)6-4-2-3-5-7(6)9/h2-5,9H,1H3"
0.0,0.5060509203141039,0.41455857286737297,0.8097689962989513,0.6941767545664417,0.7417167318620714,0.9144441038919086,0.8880234311507303,0.8869035293663775,0.8213755900707789,0.731193919513176,0.8011734003940088,0.7999594848206794,0.6305863432944824,0.6553674385110237,1.0784246582953363,1.0612923723930645
0.5060509203141039,0.0,0.39928716147145193,0.9054858659748334,0.6800633152886467,0.7370406012736668,0.9975836973718503,1.0065240404983247,0.8977358135656928,0.9152350567331274,0.9292071242536637,1.003356051756656,0.9346981245576838,0.7381469435907879,0.6742880472907202,1.05305184854839,1.007900779822035
0.41455857286737297,0.39928716147145193,0.0,0.9674604055350284,0.7986974711380397,0.8420161530497315,0.9697689456911074,1.0160672038981229,0.9417304721845069,0.9020928662939734,0.8697450116153416,0.9168409997409084,0.865841960468812,0.6529239086349152,0.6202279607903444,1.1088696305796486,1.069820881344823
0.8097689962989513,0.9054858659748334,0.9674604055350284,0.0,0.6583289648195281,0.533977011822691,0.8844688084726984,0.9182096160119126,0.8598215140352653,1.0659809781867353,0.8026914669082335,0.8552250055996983,0.9304079625021813,0.7401175431080433,0.8713379532306682,1.0340409194729516,0.9652414843376451
0.6941767545664417,0.6800633152886467,0.7986974711380397,0.6583289648195281,0.0,0.26511700001995775,0.9691973369235939,0.9137762552858573,0.8910191114326087,1.0602715856135765,0.862595818831135,0.9686536402513022,0.7989504678909842,0.639696805516369,0.6266267245682613,1.06359020304899,1.0363576463902584
0.7417167318620714,0.7370406012736668,0.8420161530497315,0.533977011822691,0.26511700001995775,0.0,0.9437785199385619,0.9012757666154189,0.861581917338204,1.0875323700653123,0.8404937939908258,0.9392007342708708,0.8085815157366434,0.6426537038461707,0.6843585016148526,1.0300177194202627,0.9930074277132765
0.9144441038919086,0.9975836973718503,0.9697689456911074,0.8844688084726984,0.9691973369235939,0.9437785199385619,0.0,0.7638913764695412,0.9571224966543023,0.9850859456166545,0.9245579454775892,0.9777982865123537,1.0232270960139045,0.9563643346471542,0.9904122197397092,1.039519393440928,0.9853266300172508
0.8880234311507303,1.0065240404983247,1.0160672038981229,0.9182096160119126,0.9137762552858573,0.9012757666154189,0.7638913764695412,0.0,1.003927676607805,1.0227633930388205,0.7779249367463065,0.9021244885470405,0.9857783062072846,0.9548726869083514,1.050138208534324,0.9747363792128012,1.0378588791839425
0.8869035293663775,0.8977358135656928,0.9417304721845069,0.8598215140352653,0.8910191114326087,0.861581917338204,0.9571224966543023,1.003927676607805,0.0,0.8995714976546824,0.8792137384376775,0.8231001072504313,0.8338557727156686,0.9055000788816573,0.8903354075071139,0.9535643218650774,0.942056898049625
0.8213755900707789,0.9152350567331274,0.9020928662939734,1.0659809781867353,1.0602715856135765,1.0875323700653123,0.9850859456166545,1.0227633930388205,0.8995714976546824,0.0,0.9608909962014238,0.8867884897928903,0.8116838636121958,0.9424748113981225,0.8729969475135317,1.0509585978794533,1.0243337312238558
0.731193919513176,0.9292071242536637,0.8697450116153416,0.8026914669082335,0.862595818831135,0.8404937939908258,0.9245579454775892,0.7779249367463065,0.8792137384376775,0.9608909962014238,0.0,0.38949256275451705,0.7483261179355796,0.5845136875316814,0.692421378649937,0.9209678502623239,1.0301094149943713
0.8011734003940088,1.003356051756656,0.9168409997409084,0.8552250055996983,0.9686536402513022,0.9392007342708708,0.9777982865123537,0.9021244885470405,0.8231001072504313,0.8867884897928903,0.38949256275451705,0.0,0.7386823109567242,0.6727735759357343,0.7448714416509543,0.9358997784259346,1.0059596246682616
0.7999594848206794,0.9346981245576838,0.865841960468812,0.9304079625021813,0.7989504678909842,0.8085815157366434,1.0232270960139045,0.9857783062072846,0.8338557727156686,0.8116838636121958,0.7483261179355796,0.7386823109567242,0.0,0.691218077395168,0.680538834388887,1.0928977332466447,1.0461705702813442
0.6305863432944824,0.7381469435907879,0.6529239086349152,0.7401175431080433,0.639696805516369,0.6426537038461707,0.9563643346471542,0.9548726869083514,0.9055000788816573,0.9424748113981225,0.5845136875316814,0.6727735759357343,0.691218077395168,0.0,0.44595678071550393,0.9664060930065262,1.0240884272418294
0.6553674385110237,0.6742880472907202,0.6202279607903444,0.8713379532306682,0.6266267245682613,0.6843585016148526,0.9904122197397092,1.050138208534324,0.8903354075071139,0.8729969475135317,0.692421378649937,0.7448714416509543,0.680538834388887,0.44595678071550393,0.0,1.0339246517998562,1.0452246076063763
1.0784246582953363,1.05305184854839,1.1088696305796486,1.0340409194729516,1.06359020304899,1.0300177194202627,1.039519393440928,0.9747363792128012,0.9535643218650774,1.0509585978794533,0.9209678502623239,0.9358997784259346,1.0928977332466447,0.9664060930065262,1.0339246517998562,0.0,0.7495457635356251
1.0612923723930645,1.007900779822035,1.069820881344823,0.9652414843376451,1.0363576463902584,0.9930074277132765,0.9853266300172508,1.0378588791839425,0.942056898049625,1.0243337312238558,1.0301094149943713,1.0059596246682616,1.0461705702813442,1.0240884272418294,1.0452246076063763,0.7495457635356251,0.0
